"Tipo","AutorPrincipal","Ano","URLDOI","Título","Periódico/Conferêncial","Coautores"
"trabalhoCompletoEmCongresso","Adilson Vahldick","2009","","Ensinando Programação Através de Dispositivos Móveis:Mobile Furbot e iFurbot","SEMINCO","ESTRÁZULAS, D. ; CORREA, M.A. ; VAHLDICK, A. ; MATTOS, M. M."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2008","","Aplicação do Padrão DAO em Projetos Desenvolvidos com Delphi","IV Escola Regional de Banco de Dados","SARDAGNA, M. ; VAHLDICK, A."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2008","","Adaptação de Conteúdo SCORM em Ambientes Inteligentes de Aprendizagem","XIX Simpósio Brasileiro de Informática na Educação","VAHLDICK, A.; RAABE, A. L. A."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2008","","Relato de uma Experiência no Ensino de Algoritmos e Programação Utilizando um Framework Lúdico","XIX Simpósio Brasileiro de Informática na Educação","VAHLDICK, A.; MATTOS, M. M."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2008","","Ambiente Web para Execução e Acompanhamento de Exercícios de Programação","XIX Simpósio Brasileiro de Informática na Educação","VAHLDICK, A.; LOHN, S."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2008","","Driver JDBC Para Consultas em Bancos de Dados Distribuídos e Fragmentados Horizontalmente","SEMINCO","VAHLDICK, A.; GONÇALVES, J."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2007","","Framework em Java para Desenvolvimento de Aplicações Contendo Janelas Gráficas","SEMINCO - Seminário de Computação","PISCKE, L. S. ; VAHLDICK, A."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2007","","Uma Experiência Lúdica no Ensino de Programação Orientada a Objetos","SBIE - Simpósio Brasileiro de Informática na Educação","VAHLDICK, A"
"resumoExpandidoEmCongresso","Adilson Vahldick","2020","","Um Jogo Sério do Gênero Defesas com Torres para Alunos de Ensino Médio sobre a Prevenção de Infecções Sexualmente Transmissíveis","XIX Simpósio Brasileiro de Jogos e Entretenimento Digital, 2020, Recife/PE. Proceedings of SBGames 2020","VAHLDICK, A.; ZOCATELLI, P. H."
"resumoExpandidoEmCongresso","Adilson Vahldick","2019","","Creating an Augmented Book from a Geography Textbook","IEEE ICALT (International Conference on Advanced Learning Technologies and Technology-enhanced Learning), 2019, Maceió. IEEE ICALT (International Conference on Advanced Learning Technologies and Technology-enhanced Learning)","VAHLDICK, A.; BITTENCOURT, D. L."
"resumoExpandidoEmCongresso","Adilson Vahldick","2010","","Utilização da robótica na tecnologia educacional","I Congresso de Iniciação Científica e Pós-Graduação do Sul do Brasil - CICPG, 2010, Florianópolis. I CICPG SUL BRASIL CONGRESSO DE INICIAÇÃO CIENTÍFICA E PÓS-GRADUAÇÃO","URBAN, D. ; BENITTI, F.B.V. ; VAHLDICK, A. ; KRUEGER, M. ; KRESPI, N. T."
"resumoExpandidoEmCongresso","Adilson Vahldick","2010","","CELINE LIP: Framework em Java para Aplicação da Especificação IMS LIP","XXI Simpósio Brasileiro de Informática na Educação, 2010, João Pessoa. XXI Simpósio Brasileiro de Informática na Educação","VAHLDICK, A.; GONZAGA, M."
"resumoExpandidoEmCongresso","Adilson Vahldick","2009","","O uso do Lego Mindstorms no apoio ao Ensino de Programação de Computadores","Congresso da Sociedade Brasileira de Computação - WEI, 2009, Bento Gonçalves. XXIX Congresso da Sociedade Brasileira de Computação","VAHLDICK, A.; BENITTI, F.B.V. ; URBAN, D. ; KRUEGER, M. ; HALMA, A."
"resumoExpandidoEmCongresso","Adilson Vahldick","2008","","O Uso de Técnicas Fuzzy em Ambientes Inteligentes de Aprendizagem","XIX Simpósio Brasileiro de Informática na Educação, 2008, Fortaleza. XIX Simpósio Brasileiro de Informática na Educação","VAHLDICK, A.; SANTIAGO, R. ; RAABE, A. L. A."
"trabalhoCompletoEmCongresso","Eliel Marlon de Lima Pinto Moreira","2018","","A Machine Learning Approach for Detecting Spoofing Attacks in Wireless Sensor Networks","The 32nd IEEE International Conference on Advanced Information Networking and Applications (IEEE AINA-2018)","PELLENZ, M. E. ; LACHOWSKI, R. ; PENNA, M. C. ; MARLON, Eliel"
