"Tipo","AutorPrincipal","Ano","URLDOI","Título","Periódico/Conferêncial","Coautores"
"trabalhoCompletoEmCongresso","Marília Guterres Ferreira","2011","","Complementing the SEI-IDEAL Model with Deployers Real Experiences: The need to address human factors in SPI initiatives","XIV Iberoamerican Conference on Software Engineering (CIbSE)","FERREIRA, M. G.; Wazlawick, R. S."
"trabalhoCompletoEmCongresso","Marília Guterres Ferreira","2011","","Software Process Improvement: A organizational change that need to be managed and motivated","International Conference on Software Engineering and Technology (ICSET/WASET)","FERREIRA, M. G.; Wazlawick, R. S."
"trabalhoCompletoEmCongresso","Marília Guterres Ferreira","2010","","Recommendations for Improving SEI s IDEAL Model with Human Factors","Second Pacific-Asia Conference on Knowledge Engineering and Software Engineering (KESE)","FERREIRA, M. G.; Wazlawick, R. S."
"artigoEmPeriodico","Mattheus da Hora França","2013","","Navegação e Manipulação de Objetos Virtuais Utilizando Dispositivos sem Fio. C&T","Revista Militar de Ciência e Tecnologia","FRANÇA, M. H.; Oliveira, T. E. A. ; OLIVEIRA, J. C. ; ROSA, P. F. F."
"artigoEmPeriodico","Mattheus da Hora França","2013","","Sistema autônomo para a estimação da pose de um objeto com faces planas em ambiente não estruturado. C&T","Revista Militar de Ciência e Tecnologia","Oliveira, T. E. A. ; ROSA, P. F. F. ; MELO NETO, A. ; FRANÇA, M. H."
"trabalhoCompletoEmCongresso","Mattheus da Hora França","2011","http://dx.doi.org/10.1109/svr.2011.38","Words Game in an Educational Context: Augmented Reality Aplication","XIII Symposium on Virtual Reality","SILVA, VÂNIA CORDEIRO DA ; GOES JR., ELINALDO SANTOS DE ; FRANÇA, MATHEUS DA HORA ; AMBRÓSIO, PAULO EDUARDO"
"trabalhoCompletoEmCongresso","Osvaldo André Furlaneto Rodrigues","2012","","Badminton: a oportunidade de um novo esporte nas escolas públicas e comunidade de Ibirama/SC","30º Seminário de Extensão Universitária da Região Sul - SEURS","RODRIGUES, O. A. F.; SCHOEFFEL, P. ; KRAMBECK, A. E."
"artigoEmPeriodico","Pablo Schoeffel","2012","","Factors of Influence in Software Process Improvement: a Comparative Survey Between Micro and Small Enterprises (MSE) and Medium and Large Enterprises (MLE)","Revista IEEE América Latina","SCHOEFFEL, P.; BENITTI, F. B. V."
"artigoEmPeriodico","Pablo Schoeffel","2010","","Pesquisa de Fatores que Influenciam na Melhoria de Processo de Software em Empresas do Estado de Santa Catarin. Cadernos do IME","Série Informática","SCHOEFFEL, P.; BENITTI, F. B. V."
"trabalhoCompletoEmCongresso","Pablo Schoeffel","2014","","PizzaMia: Dinâmica Vivencial para Apoio ao Ensino de Gerenciamento de Projetos Baseado no PMBOK","Congresso da Sociedade Brasileira de Computação - Workshop de Educação para Computação","SCHOEFFEL, P"
"trabalhoCompletoEmCongresso","Pablo Schoeffel","2012",""",Pesquisa de Características de Empresas de Desenvolvimento de Software do Alto Vale do Itajaí (SC) Relacionadas à Melhoria de Processo","VI Congresso Sul Brasileiro de Computação (SulComp 2012)","SCHOEFFEL, P.; FERRARI, C. J. ; SEVEGNANI, J."
"trabalhoCompletoEmCongresso","Pablo Schoeffel","2012","","Relato de melhoria de atividade de testes a partir da integra ̧c ̃ao da ferramenta TestComplete com a ferramenta de gest ̃ao de testes TestLink","XXI SEMINCO (Seminário de Computação)","WALTRICK, D. O. ; SCHOEFFEL, P. ; GRAHL, E. A."
"resumoExpandidoEmCongresso","Pablo Schoeffel","2014","","Jogo didático para o ensino de cálculo de contingência em gerência de riscos","V Computer on the Beach, 2014, Florianópolis, SC. Anais do V Computer on the Beach","SOUZA, M. ; SCHOEFFEL, P."
"artigoEmPeriodico","Paolo Moser","2013","http://dx.doi.org/10.1016/j.rse.2012.10.023","Using satellite image-based maps and ground inventory data to estimate the area of the remaining Atlantic forest in the Brazilian state of Santa Catarina","Remote Sensing of Environment","VIBRANS, ALEXANDER C. ; MCROBERTS, RONALD E. ; MOSER, PAOLO ; NICOLETTI, ADILSON L."
"trabalhoCompletoEmCongresso","Paulo Roberto Farah","2013","","ANÁLISE E CARACTERIZAÇÃO DE DESEMPENHO DO FIREWALL IPTABLE/NETFILTER","ERIN 2013 - III ESCOLA REGIONAL DE INFORMÁTICA REGIONAL NORTE 1","FARAH, P. R.; Morais, W. R. ; LOPES, D. N."
"trabalhoCompletoEmCongresso","Paulo Roberto Farah","2013","","ARQUITETURA E INTERFACE PARA DISTRIBUIÇÃO DE AMBIENTE DE REALIDADE AUMENTADA POR MEIO DO ARTOOLKIT INTEGRADA A PLATAFORMA CORBA APLICADADOS NA EDUCAÇÃO","ERIN 2013 - III ESCOLA REGIONAL DE INFORMÁTICA REGIONAL NORTE 1","SILVA, W. A. ; FARAH, P. R."
"trabalhoCompletoEmCongresso","Paulo Roberto Farah","2010","","Avaliação do Desempenho das Arquiteturas de Computadores de 32 Bits e 64 Bits em um Servidor LAMP","II Escola Regional de Informática (ERIN 2010)","FARAH, P. R.; BUCK, F. F. ; PAULI, P."
"trabalhoCompletoEmCongresso","Paulo Roberto Farah","2010","","Deteccao de Worms por Meio da Aplicacao de Redes de Petri Coloridas em Motores de Propagacao","II Escola Regional de Informática (ERIN 2010)","FARAH, P. R.; LIMA, A. M. S. ; SOUZA, E. S. ; CAVALCANTE, F. L. ; MENDONCA, M. M. ; SILVA, S. N."
